,n,mean,std
0,1,0.2941063557734413,0.007951096824669752
1,2,0.20269149286602942,0.00551603647701019
2,3,0.16108037827520366,0.004412317462232302
3,4,0.13556529094217387,0.0037167379023118666
4,5,0.11762799504640319,0.003279480898965173
5,6,0.10395861316292596,0.0029934760859353605
6,7,0.09296787403844536,0.0028136358618362422
7,8,0.08378153513328024,0.002721536503987193
8,9,0.07586683514914218,0.0026924701181045845
9,10,0.06888152832197314,0.002677742957584703
10,11,0.06259469881901705,0.002644059133622047
11,12,0.05683541656945974,0.0025871122444351058
12,13,0.05146761243261406,0.0025076444804600076
13,14,0.04638416381824098,0.0023897738676269095
14,15,0.04148487085556623,0.002233589810029905
15,16,0.03666877612004748,0.002033858296853507
16,17,0.031825190998648646,0.0017848009233946854
17,18,0.026790040757617244,0.0015110993395773906
18,19,0.02129183659527369,0.001194658965524493
19,20,0.014689350940847452,0.0006615956208109733
20,21,0.0,0.0
