approach,model_name,accuracy,rush_precision,rush_recall,rush_f1_score,pass_precision,pass_recall,pass_f1_score
2025-07-28_10-08-55,GCN,0.7798690671031097,0.7415254237288136,0.8592471358428805,0.796057619408643,0.8326848249027238,0.7004909983633388,0.7608888888888888
2025-07-28_10-08-55,MLP,0.7184942716857611,0.7184942716857611,0.7184942716857611,0.7184942716857611,0.7184942716857611,0.7184942716857611,0.7184942716857611
2025-07-28_10-08-55,RF,0.7405891980360065,0.7213855421686747,0.7839607201309329,0.7513725490196078,0.7634408602150538,0.6972176759410802,0.7288280581693756
2025-07-28_15-11-48,GCN,0.7647379912663755,0.7555321390937829,0.7827510917030568,0.7689008042895442,0.7746319365798414,0.7467248908296943,0.7604224569205114
2025-07-28_15-11-48,MLP,0.6664847161572053,0.6659412404787813,0.6681222707423581,0.6670299727520436,0.6670317634173056,0.6648471615720524,0.6659376708583926
2025-07-28_15-11-48,RF,0.7407205240174672,0.7220543806646526,0.7827510917030568,0.751178627553693,0.7628128724672228,0.6986899563318777,0.7293447293447294
2025-07-28_16-59-04,GCN,0.7483624454148472,0.7215189873417721,0.8089519650655022,0.7627380339680906,0.782608695652174,0.6877729257641921,0.7321324811156305
2025-07-28_16-59-04,MLP,0.6664847161572053,0.6659412404787813,0.6681222707423581,0.6670299727520436,0.6670317634173056,0.6648471615720524,0.6659376708583926
2025-07-28_16-59-04,RF,0.7407205240174672,0.7220543806646526,0.7827510917030568,0.751178627553693,0.7628128724672228,0.6986899563318777,0.7293447293447294
2025-07-28_17-13-49,GCN,0.779050736497545,0.7808896210873146,0.7757774140752864,0.7783251231527094,0.7772357723577236,0.7823240589198036,0.7797716150081566
2025-07-28_17-13-49,MLP,0.7184942716857611,0.7184942716857611,0.7184942716857611,0.7184942716857611,0.7184942716857611,0.7184942716857611,0.7184942716857611
2025-07-28_17-13-49,RF,0.7405891980360065,0.7213855421686747,0.7839607201309329,0.7513725490196078,0.7634408602150538,0.6972176759410802,0.7288280581693756
2025-07-28_17-32-32,GCN,0.7692307692307693,0.7534668721109399,0.8003273322422259,0.7761904761904762,0.787085514834206,0.7381342062193126,0.7618243243243243
2025-07-28_17-32-32,MLP,0.6759410801963993,0.6909413854351687,0.6366612111292962,0.6626916524701874,0.6631259484066768,0.7152209492635024,0.6881889763779527
2025-07-28_17-32-32,RF,0.737315875613748,0.7132352941176471,0.7937806873977087,0.7513555383423702,0.7675276752767528,0.6808510638297872,0.7215958369470945
2025-07-28_18-07-48,GCN,0.7298034934497817,0.684487291849255,0.8526200873362445,0.7593582887700535,0.804630969609262,0.6069868995633187,0.6919726197884256
2025-07-28_18-07-48,MLP,0.6473799126637555,0.641213389121339,0.6692139737991266,0.6549145299145299,0.6541095890410958,0.6255458515283843,0.6395089285714286
2025-07-28_18-07-48,RF,0.7232532751091703,0.7022749752720079,0.7751091703056768,0.7368967306694344,0.7490864799025578,0.6713973799126638,0.7081174438687392
2025-07-28_18-22-54,GCN,0.779050736497545,0.7603053435114504,0.8150572831423896,0.7867298578199052,0.800705467372134,0.7430441898527005,0.7707979626485568
2025-07-28_18-22-54,MLP,0.6873977086743044,0.6892561983471074,0.6824877250409165,0.6858552631578947,0.6855753646677472,0.6923076923076923,0.6889250814332247
2025-07-28_18-22-54,RF,0.7356792144026186,0.7123893805309734,0.79050736497545,0.7494181536074477,0.7647058823529411,0.6808510638297872,0.7203463203463204
2025-07-28_18-40-27,GCN,0.7725040916530278,0.7865748709122203,0.7479541734860884,0.7667785234899329,0.7597503900156006,0.7970540098199672,0.7779552715654952
2025-07-28_18-40-27,MLP,0.6816693944353519,0.6831683168316832,0.6775777414075287,0.6803615447822514,0.6801948051948052,0.6857610474631751,0.6829665851670742
2025-07-28_18-40-27,RF,0.737315875613748,0.7138643067846607,0.7921440261865794,0.7509697439875873,0.7665441176470589,0.6824877250409165,0.7220779220779221
2025-07-28_18-58-32,GCN,0.776595744680851,0.7522388059701492,0.8248772504091653,0.7868852459016393,0.8061594202898551,0.7283142389525368,0.765262252794497
2025-07-28_18-58-32,MLP,0.6783960720130933,0.676948051948052,0.6824877250409165,0.6797066014669927,0.6798679867986799,0.67430441898527,0.6770747740345111
2025-07-28_18-58-32,RF,0.7315875613747954,0.7140695915279879,0.7725040916530278,0.7421383647798742,0.7522281639928698,0.690671031096563,0.7201365187713311
2025-07-28_19-17-28,GCN,0.7782324058919804,0.7248677248677249,0.8968903436988543,0.8017556693489393,0.8648068669527897,0.6595744680851063,0.7483751160631383
2025-07-28_19-17-28,MLP,0.7225859247135843,0.713166144200627,0.7446808510638298,0.7285828662930345,0.7328767123287672,0.7004909983633388,0.7163179916317992
