strategy,trial,accuracy,hidden_channels,hidden_layers,learning_rate,warmup_epochs,down_sample,qb_link
CLOSEST-,0,0.6819360414866033,256,2,0.0011252775978848278,20,False,False
CLOSEST-,1,0.6041486603284356,256,1,0.039105103432523526,20,False,False
CLOSEST-,2,0.5,256,2,0.008264190308652681,30,True,False
CLOSEST-,3,0.5,128,2,0.02697237323483229,30,True,True
CLOSEST-,4,0.5,256,2,0.010981245673686888,20,True,True
CLOSEST-,5,0.5,256,2,0.0683423665518066,10,True,False
CLOSEST-,6,0.5,128,2,0.039091392648423755,20,True,True
CLOSEST-,7,0.5,256,2,0.05909416032865817,20,True,True
CLOSEST-,8,0.6041486603284356,128,1,0.08388425461611475,10,False,False
CLOSEST-,9,0.6707000864304236,128,2,0.001975443455522526,20,False,False
CLOSEST-,10,0.5005458515283843,256,1,0.019509137929012803,20,True,True
CLOSEST-,11,0.719533275713051,128,1,0.0010570350855004583,10,False,False
CLOSEST-,12,0.6741573033707865,128,2,0.0011714932055487328,20,False,False
CLOSEST-,13,0.7286084701815039,128,1,0.0010011725457382144,10,False,False
CLOSEST-,14,0.6953327571305099,128,1,0.00301062285538655,10,False,False
CLOSEST-,15,0.6041486603284356,128,1,0.003225020361786433,10,False,False
CLOSEST-,16,0.6923076923076923,128,1,0.0033616582330240814,10,False,False
CLOSEST-,17,0.6041486603284356,128,1,0.006365404005715218,10,False,False
CLOSEST-,18,0.6914433880726015,128,1,0.0020203425949763183,10,False,False
CLOSEST-,19,0.6940363007778738,128,1,0.001864659661464756,10,False,False
CLOSEST-,20,0.7100259291270528,128,1,0.00103380694603196,10,False,False
CLOSEST-,21,0.6672428694900605,128,1,0.0054596738876137975,30,False,False
CLOSEST-,22,0.7286084701815039,128,1,0.0010429466856594484,10,False,False
CLOSEST-,23,0.7203975799481418,128,1,0.001029239929389997,10,False,False
CLOSEST-,24,0.7113223854796888,128,1,0.0016220539847284288,10,False,False
CLOSEST-,25,0.7130509939498704,128,1,0.001682321230236754,10,False,False
CLOSEST-,26,0.68971477960242,128,1,0.0016014259604252483,10,False,False
CLOSEST-,27,0.6944684528954191,128,1,0.002781947797518491,10,False,True
CLOSEST-,28,0.7009507346585998,128,1,0.0025555090541659426,30,False,True
CLOSEST-,29,0.7018150388936906,128,1,0.004612710016256749,30,False,False
CLOSEST-,30,0.6745894554883319,128,1,0.004597279480318472,10,False,False
CLOSEST-,31,0.7281763180639585,128,1,0.0012793183959744026,10,False,False
CLOSEST-,32,0.7031114952463267,128,1,0.001250797179057314,10,False,False
CLOSEST-,33,0.702247191011236,128,1,0.0013061507025419173,10,False,False
CLOSEST-,34,0.716076058772688,128,1,0.001493680780694342,10,False,False
CLOSEST-,35,0.7182368193604148,256,1,0.0013824641710077517,10,False,False
CLOSEST-,36,0.6041486603284356,256,1,0.013776489731397033,10,False,False
CLOSEST-,37,0.6041486603284356,256,1,0.01220988935847315,10,False,False
CLOSEST-,38,0.6861353711790393,128,1,0.002156238706854607,30,True,False
CLOSEST-,39,0.6850436681222707,128,1,0.002318244574528439,30,True,True
CLOSEST-,40,0.7194323144104804,128,1,0.001028830027674528,10,True,True
CLOSEST-,41,0.5796943231441049,128,2,0.0010963498045129811,10,True,False
CLOSEST-,42,0.7143474503025065,128,1,0.0010936259981136464,10,False,False
CLOSEST-,43,0.7234226447709594,128,1,0.0013749206663713999,10,False,False
CLOSEST-,44,0.7169403630077787,128,1,0.0014053183874523062,10,False,False
CLOSEST-,45,0.702247191011236,128,1,0.0014926917947817222,20,False,False
CLOSEST-,46,0.698789974070873,256,1,0.0018912054302498323,10,False,False
CLOSEST-,47,0.6041486603284356,256,1,0.03198756650183951,10,False,False
CLOSEST-,48,0.6041486603284356,128,2,0.001879075227381568,20,False,False
CLOSEST-,49,0.6041486603284356,128,2,0.008812420732100212,20,False,False
CLOSEST-,50,0.7152117545375972,128,1,0.0012655151083754825,10,False,False
CLOSEST-,51,0.7108902333621435,128,1,0.0012581442623768892,10,False,True
CLOSEST-,52,0.7191011235955056,128,1,0.0010589294724382002,10,False,False
CLOSEST-,53,0.7130509939498704,128,1,0.0010090842252715817,10,False,False
CLOSEST-,54,0.6858254105445116,128,1,0.002429754298164362,10,False,False
CLOSEST-,55,0.7052722558340536,128,1,0.002405078434172344,10,False,False
CLOSEST-,56,0.6577355229040622,128,1,0.003370946818881566,10,False,False
CLOSEST-,57,0.6780466724286949,128,1,0.0033957275286755394,10,False,False
CLOSEST-,58,0.6871218668971478,128,1,0.0016474935073038707,10,False,False
CLOSEST-,59,0.6937772925764192,128,1,0.0017776362173578893,10,True,False
CLOSEST-,60,0.6959606986899564,128,1,0.0012259820550872384,10,True,False
CLOSEST-,61,0.6041486603284356,128,1,0.06028193915112031,10,False,False
CLOSEST-,62,0.6965065502183406,128,1,0.0010410440056901355,10,True,True
CLOSEST-,63,0.7041484716157205,128,1,0.0010083300176793025,10,True,True
CLOSEST-,64,0.7079694323144105,128,1,0.001443608675581192,10,True,True
CLOSEST-,65,0.7096069868995634,128,1,0.0014397127954021715,10,True,True
CLOSEST-,66,0.7030567685589519,128,1,0.0012483907486424695,30,True,True
CLOSEST-,67,0.6041486603284356,128,1,0.018279419227682663,30,False,True
CLOSEST-,68,0.7156439066551427,128,1,0.0011898444080473895,10,False,True
CLOSEST-,69,0.7242869490060502,256,1,0.001174257858135789,10,False,False
CLOSEST-,70,0.7100259291270528,256,1,0.0020477635793642456,10,False,False
CLOSEST-,71,0.7216940363007779,256,1,0.0015832886218769971,20,False,False
CLOSEST-,72,0.7044079515989629,256,1,0.0015506743058225107,10,False,False
CLOSEST-,73,0.7255834053586863,256,1,0.0011343045539094208,10,False,False
CLOSEST-,74,0.7009507346585998,256,1,0.001709962775881533,20,False,False
CLOSEST-,75,0.7199654278305964,256,1,0.0017707053959098611,20,False,False
CLOSEST-,76,0.7251512532411409,256,1,0.00118536561618228,20,False,False
CLOSEST-,77,0.6041486603284356,256,1,0.09529018948572594,20,False,False
CLOSEST-,78,0.6875540190146932,256,1,0.002877305699501435,20,False,False
CLOSEST-,79,0.7018150388936906,256,1,0.0013468969651443217,20,False,False
CLOSEST-,80,0.6966292134831461,256,1,0.0013506019380363117,20,False,False
CLOSEST-,81,0.702247191011236,256,1,0.0021129305570978954,20,False,False
CLOSEST-,82,0.722990492653414,256,1,0.001103496241631899,20,False,False
CLOSEST-,83,0.716076058772688,256,1,0.0011426761887868117,20,False,False
CLOSEST-,84,0.7173725151253241,256,1,0.001161774676435773,20,False,False
CLOSEST-,85,0.7212618841832324,256,1,0.0011467646425839882,20,False,False
CLOSEST-,86,0.7035436473638721,256,1,0.001547051273299773,20,False,False
CLOSEST-,87,0.7104580812445981,256,1,0.0015119041943368527,20,False,False
CLOSEST-,88,0.7178046672428695,256,1,0.001359652581144119,20,False,False
CLOSEST-,89,0.7268798617113224,256,1,0.0013931880628495522,20,False,False
CLOSEST-,90,0.6810717372515125,256,1,0.004015140972570974,20,False,False
CLOSEST-,91,0.6551426101987899,256,2,0.0011584349653958974,20,False,False
CLOSEST-,92,0.7121866897147796,256,1,0.0011714216210802352,20,False,False
CLOSEST-,93,0.743733794295592,256,1,0.0010008486731608566,20,False,False
CLOSEST-,94,0.7031114952463267,256,1,0.0016806762574303226,20,False,False
CLOSEST-,95,0.6041486603284356,256,1,0.007065398033987221,20,False,False
CLOSEST-,96,0.7290406222990493,256,1,0.0010011808462424665,20,False,False
CLOSEST-,97,0.6797752808988764,256,1,0.0010099635598303926,10,False,False
CLOSEST-,98,0.7057044079515989,256,1,0.0010085723438545047,10,False,False
CLOSEST-,99,0.7260155574762316,256,1,0.0013373269437877368,30,False,False
QB-CLOSEST-,0,0.6370087336244541,256,1,0.004910585109439351,20,True,False
QB-CLOSEST-,1,0.5,128,2,0.0028067401707705243,20,True,True
QB-CLOSEST-,2,0.6041486603284356,256,1,0.02252594013191524,30,False,False
QB-CLOSEST-,3,0.5,128,2,0.043943321800968674,30,True,False
QB-CLOSEST-,4,0.6866897147796024,256,1,0.003991175577244271,30,False,True
QB-CLOSEST-,5,0.6041486603284356,128,2,0.0025542929344108726,30,False,True
QB-CLOSEST-,6,0.6997816593886463,128,1,0.0011757119151343033,30,True,False
QB-CLOSEST-,7,0.5,128,2,0.06719230724786358,10,True,True
QB-CLOSEST-,8,0.6041486603284356,128,1,0.05813565003557955,20,False,False
QB-CLOSEST-,9,0.6041486603284356,256,1,0.025587390171862023,20,False,False
QB-CLOSEST-,10,0.6041486603284356,128,1,0.03116895141131896,30,False,True
QB-CLOSEST-,11,0.7117903930131004,128,1,0.0010039113626955655,10,True,False
QB-CLOSEST-,12,0.7019650655021834,256,1,0.001473937571047384,30,True,True
QB-CLOSEST-,13,0.7139737991266376,128,1,0.0010440712031265567,10,True,False
QB-CLOSEST-,14,0.7106986899563319,256,1,0.001004745282926846,10,True,True
QB-CLOSEST-,15,0.5005458515283843,128,1,0.00991807820164283,10,True,False
QB-CLOSEST-,16,0.5005458515283843,128,1,0.007388805398184637,10,True,False
QB-CLOSEST-,17,0.5,128,1,0.010792128146230434,10,True,False
QB-CLOSEST-,18,0.5491266375545851,128,2,0.0019599289547559775,10,True,False
QB-CLOSEST-,19,0.5447598253275109,128,2,0.0019467262147224889,10,True,False
QB-CLOSEST-,20,0.6965065502183406,128,1,0.0018495753536195635,10,True,False
QB-CLOSEST-,21,0.5010917030567685,128,1,0.005229604770012443,10,True,False
QB-CLOSEST-,22,0.6997816593886463,256,1,0.0012984655081902865,10,True,True
QB-CLOSEST-,23,0.6866812227074236,256,1,0.0014075062142156049,10,True,True
QB-CLOSEST-,24,0.7134279475982532,256,1,0.0010526891953692116,10,True,True
