strategy,trial,accuracy,hidden_channels,hidden_layers,warmup_epochs
CLOSEST-,0,,128,4,15
CLOSEST-,1,,256,2,25
CLOSEST-,2,,32,3,13
CLOSEST-,3,,128,2,25
CLOSEST-,4,,32,3,13
CLOSEST-,5,,32,2,18
CLOSEST-,6,0.6050129645635264,256,2,25
CLOSEST-,7,0.6041486603284356,128,3,13
CLOSEST-,8,0.6659464131374244,128,1,17
CLOSEST-,9,0.6750216076058773,256,1,17
CLOSEST-,10,0.6041486603284356,64,2,28
CLOSEST-,11,0.6041486603284356,32,1,10
CLOSEST-,12,0.6305099394987036,64,1,24
CLOSEST-,13,0.6261884183232498,128,1,6
CLOSEST-,14,0.6041486603284356,128,4,24
CLOSEST-,15,0.6041486603284356,128,2,15
CLOSEST-,16,0.6028522039757995,256,2,15
CLOSEST-,17,0.6041486603284356,256,3,20
CLOSEST-,18,0.6875540190146932,256,1,19
CLOSEST-,19,0.6050129645635264,32,1,19
CLOSEST-,20,0.6974935177182369,256,1,21
CLOSEST-,21,0.6041486603284356,256,4,21
CLOSEST-,22,0.6041486603284356,256,4,21
CLOSEST-,23,0.6041486603284356,256,3,28
CLOSEST-,24,0.6041486603284356,256,3,11
CLOSEST-,25,0.6037165082108902,256,2,11
CLOSEST-,26,0.6041486603284356,64,2,30
CLOSEST-,27,0.6045808124459809,32,1,30
CLOSEST-,28,0.6875540190146932,256,1,17
CLOSEST-,29,0.6369922212618842,256,1,17
CLOSEST-,30,0.6685393258426966,256,1,22
CLOSEST-,31,0.6923076923076923,256,1,21
CLOSEST-,32,0.6767502160760588,256,1,19
CLOSEST-,33,0.6024200518582541,256,2,23
CLOSEST-,34,0.6037165082108902,256,2,26
CLOSEST-,35,0.6041486603284356,64,2,27
CLOSEST-,36,0.6188418323249784,64,1,26
CLOSEST-,37,0.6101987899740708,32,1,25
CLOSEST-,38,0.6763180639585133,256,1,15
CLOSEST-,39,0.6815038893690579,256,1,14
CLOSEST-,40,0.6858254105445116,256,1,19
CLOSEST-,41,0.6508210890233362,256,1,19
CLOSEST-,42,0.6698357821953328,256,1,18
CLOSEST-,43,0.6776145203111495,256,1,17
CLOSEST-,44,0.6616248919619706,256,1,22
CLOSEST-,45,0.6464995678478824,128,1,22
CLOSEST-,46,0.6041486603284356,128,2,16
CLOSEST-,47,0.6041486603284356,32,2,13
CLOSEST-,48,0.6633535004321521,256,1,20
CLOSEST-,49,0.665514261019879,256,1,20
CLOSEST-,50,0.6707000864304236,256,1,18
CLOSEST-,51,0.6646499567847882,256,1,18
CLOSEST-,52,0.6694036300777874,256,1,23
CLOSEST-,53,0.6754537597234227,256,1,24
CLOSEST-,54,0.6707000864304236,256,1,16
CLOSEST-,55,0.6041486603284356,64,3,16
CLOSEST-,56,0.6041486603284356,128,3,6
CLOSEST-,57,0.6041486603284356,128,2,5
CLOSEST-,58,0.6663785652549697,256,1,13
CLOSEST-,59,0.6598962834917891,256,1,13
CLOSEST-,60,0.68971477960242,256,1,14
CLOSEST-,61,0.6957649092480553,256,1,21
CLOSEST-,62,0.6875540190146932,256,1,21
CLOSEST-,63,0.6374243733794296,256,1,21
CLOSEST-,64,0.6101987899740708,32,1,11
CLOSEST-,65,0.6106309420916163,32,1,23
CLOSEST-,66,0.6041486603284356,256,2,9
CLOSEST-,67,0.6041486603284356,256,4,20
CLOSEST-,68,0.6685393258426966,256,1,20
CLOSEST-,69,0.6452031114952463,256,1,21
CLOSEST-,70,0.6961970613656007,256,1,21
CLOSEST-,71,0.6698357821953328,256,1,22
CLOSEST-,72,0.682800345721694,256,1,22
CLOSEST-,73,0.6365600691443388,64,1,24
CLOSEST-,74,0.6836646499567848,256,1,18
CLOSEST-,75,0.6037165082108902,256,2,19
CLOSEST-,76,0.6037165082108902,256,2,15
CLOSEST-,77,0.6763180639585133,256,1,15
CLOSEST-,78,0.6745894554883319,256,1,21
CLOSEST-,79,0.6888504753673294,256,1,21
CLOSEST-,80,0.6996542783059637,256,1,19
CLOSEST-,81,0.6845289541918755,256,1,17
CLOSEST-,82,0.665514261019879,256,1,23
CLOSEST-,83,0.6810717372515125,256,1,19
CLOSEST-,84,0.6836646499567848,256,1,19
CLOSEST-,85,0.6240276577355229,64,1,20
CLOSEST-,86,0.6387208297320657,64,1,25
