,n,mean_frobenius_norm,std_frobenius_norm
0,1,24.96391419715346,3.3298291413065186
1,2,40.28427358662041,4.871221969330601
2,3,53.59266611038109,6.511821970052014
3,4,66.14506706094244,8.121796852594906
4,5,77.83953321188365,9.65502628772395
5,6,88.62332445790526,11.090071213645203
6,7,98.61948254406836,12.434668286434011
7,8,107.86424951769376,13.697928553869913
8,9,116.37110747282429,14.858185955855047
9,10,124.17431667974702,15.961040581902411
10,11,131.3342357921342,17.014191162997793
11,12,137.88013502109376,18.020726616020085
12,13,143.84529581695924,18.997767608506212
13,14,149.34287804405588,19.989758014700826
14,15,154.39982411904018,21.07951105150208
15,16,159.25743780344712,22.235690523465767
16,17,164.30780983833262,23.527506044795103
17,18,169.21758318661,24.864432843802536
18,19,174.54951211178275,26.417985223305557
19,20,183.45821087742897,29.151576589879756
20,21,190.51121588788618,32.49970926100873
21,22,190.51121588788618,32.49970926100873
