,n,mean_frobenius_norm,std_frobenius_norm
0,1,1.4805244764296852,0.3726494136858078
1,2,1.468170235871962,0.33765815536666266
2,3,1.6975985768878927,0.3822073656787088
3,4,2.2073110162687395,0.5689738535787228
4,5,2.6821425560165824,0.7297246915691682
5,6,3.1681800835450797,0.9095447338319763
6,7,3.6255649329968227,1.0324981169320548
7,8,4.050509626556177,1.1475473983474236
8,9,4.463895706057266,1.2678087459239535
9,10,4.700611144731728,1.368838636952707
10,11,4.828545027362186,1.5104514859025404
11,12,4.909540255839654,1.6012189751019823
12,13,5.040618040848212,1.7333441318322094
13,14,4.94897211363196,1.718466677406981
14,15,4.9443412108747244,1.8508680892429168
15,16,4.963019363514404,1.9074357695140591
16,17,4.9998603316286605,1.8692325584832072
17,18,5.319341720051138,2.0861605635818323
18,19,5.507163293191428,2.2264853922568917
19,20,4.2476595587439565,1.9752070581943544
20,21,0.0,0.0
