,n,mean,std
0,1,1.484618228417856,0.3717148629857743
1,2,1.4589296548302986,0.33277770206094914
2,3,1.711107113979656,0.3916875437464337
3,4,2.2224879273507963,0.5694105718563452
4,5,2.7025248624984908,0.7360813737765481
5,6,3.185961983939348,0.905375040618503
6,7,3.660517486923095,1.0485615015065257
7,8,4.089387925865512,1.161397829703264
8,9,4.52638090777328,1.2827827673333778
9,10,4.747057479672099,1.3857976051122491
10,11,4.858267927156291,1.5144032679445423
11,12,4.937541903672489,1.612113751932066
12,13,5.076382703045103,1.7391043607476604
13,14,5.021098230977341,1.767957055951405
14,15,5.006296096651465,1.8311588640288945
15,16,4.996476389592646,1.893890152505257
16,17,5.051825464380243,1.8579888336326755
17,18,5.323955999176961,2.0347221981003734
18,19,5.414128907681561,2.1847660080730824
19,20,4.239872035956393,2.0023446644077323
20,21,0.0,0.0
